SO #,Customer,Customer PO,"State/
Province",Sales Person,Date Issued,Date Scheduled,Date Fulfilled,Status,Ordered,Shipped
10006,Silk Road Distro,,IL,admin,12/23/2025,12/23/2025,12/29/2025,Fulfilled,"$97,668 ","$97,668 "
9986,SMOKE ZONE STORRS-ST (CT),,CT,admin,12/22/2025,12/22/2025,12/22/2025,Fulfilled,$84 ,$84 
9987,WILD SIDE PORTLAND-PT (ME),,ME,admin,12/22/2025,12/22/2025,12/22/2025,Fulfilled,"$2,008.80 ","$2,008.80 "
9989,WILD SIDE ST PETE-STP (FL),,FL,admin,12/22/2025,12/22/2025,12/23/2025,Fulfilled,$111.60 ,$111.60 
10001,Good Vibes Boise,,ID,admin,12/23/2025,12/23/2025,12/23/2025,Fulfilled,"$1,152 ","$1,152 "
10002,WILD SIDE GREELEY-GL2 (CO),,CO,admin,12/23/2025,12/23/2025,12/23/2025,Fulfilled,$669.60 ,$669.60 
10003,WILD SIDE LAWRENCE-LR (KS),,KS,admin,12/23/2025,12/23/2025,12/23/2025,Fulfilled,"$2,400 ","$2,400 "
10005,WILD SIDE LAWRENCE-LR2 (KS),,KS,admin,12/23/2025,12/23/2025,12/23/2025,Fulfilled,$669.60 ,$669.60 
10011,Viable Alternatives - Nampa,,ID,admin,12/29/2025,12/29/2025,12/29/2025,Fulfilled,$684 ,$684 
10012,WILD SIDE CAMARILLO-CAM (CA),,CA,admin,12/29/2025,12/29/2025,12/29/2025,Fulfilled,"$1,339.20 ","$1,339.20 "
10013,WILD SIDE TEMPE-TP (AZ),,AZ,admin,12/29/2025,12/29/2025,12/29/2025,Fulfilled,$669.60 ,$669.60 
10014,PURPLE HAZE PORTER RANCH-RANCH (CA),,CA,admin,12/29/2025,12/29/2025,12/29/2025,Fulfilled,$334.80 ,$334.80 
10021,WILD SIDE ISLA VISTA-IV (CA),,CA,admin,12/29/2025,12/29/2025,12/29/2025,Fulfilled,$334.80 ,$334.80 
10025,Lg Mart,,ID,admin,12/29/2025,12/29/2025,12/29/2025,Fulfilled,"$1,368 ","$1,368 "
10030,WILD SIDE LAWRENCE-LR (KS),,KS,admin,12/29/2025,12/29/2025,12/29/2025,Fulfilled,"$2,134.80 ","$2,134.80 "
10041,Wild Side Livonia-LV | JNC Management,,MI,admin,12/29/2025,12/29/2025,12/29/2025,Fulfilled,"$1,674 ","$1,674 "
10058,PURPLE HAZE HERMOSA BEACH-HM (CA),,CA,admin,12/31/2025,12/31/2025,12/31/2025,Fulfilled,$729.60 ,$729.60 
10059,WILD SIDE MOORPARK-MPARK (CA),,CA,admin,12/31/2025,12/31/2025,12/31/2025,Fulfilled,$669.60 ,$669.60 
9676,Wild Side Livonia-LV | JNC Management,,MI,admin,12/1/2025,12/1/2025,12/1/2025,Fulfilled,$669.60 ,$669.60 
9677,PURPLE HAZE STUDIO CITY-SC (CA),,CA,admin,12/1/2025,12/1/2025,12/1/2025,Fulfilled,$223.20 ,$223.20 
