Issued date,Account ID,Bill to name,Billing Address,Bill to city,Bill to state,Billing Zip,Customer,Default Sales Rep,Product ID,Sku,Sales order Number,Sales Order Status,Sales Rep,So c1,So c2,Sales Order Custom Field 3,So c4,So c5,So c6,Sales Order ID,SO Item ID,SO Item Product Number,Customer ID,Product Description,SO Item Description,Soitem type,BOL,Carrier Name,Company id,Company name,Ship status,SO Number,Status ID,Account ID,Sales Rep Initials,Fulfilled Quantity,Last Unit Price,So ct,Unit price,Total price,Total Cost,So line item
01-03-2024,427,420 Friendlys CBD and Kratom shop,6628 W 10th st. #101,Greeley,Colorado,80634,420 Friendlys CBD and Kratom shop,,11,Shipping,1526,Fulfilled,Jared,,,,,,,1934,6926,Shipping,270,Shipping,Shipping,Shipping,11419,UPS,1,CWL Brands,Shipped,1526,30,427,JL,1.00,$0.0000,1.00,$40.00,$40.00,$0.05,2.00
01-03-2024,427,420 Friendlys CBD and Kratom shop,6628 W 10th st. #101,Greeley,Colorado,80634,420 Friendlys CBD and Kratom shop,,11,Shipping,1526,Fulfilled,Jared,,,,,,,1934,6927,Shipping,270,Shipping,Shipping Tracking: 1Z90V7160332496742,Shipping,11419,UPS,1,CWL Brands,Shipped,1526,30,427,JL,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,3.00
01-03-2024,427,420 Friendlys CBD and Kratom shop,6628 W 10th st. #101,Greeley,Colorado,80634,420 Friendlys CBD and Kratom shop,,81,FG- MC12 Focus+ Flow,1526,Fulfilled,Jared,,,,,,,1934,6925,FG- MC12 Focus+ Flow,270,MC12 Focus + Flow,MC12 Focus + Flow,Sale,11419,UPS,1,CWL Brands,Shipped,1526,30,427,JL,2.00,$576.0000,1.00,$612.00,"$1,224.00",$405.97,1.00
01-03-2024,474,VIP VAPE STORE,826 2nd St.,San Rafael,California,94901,VIP VAPE STORE,,11,Shipping,1529,Fulfilled,DerekW,,,,,,,1937,6940,Shipping,317,Shipping,Shipping,Shipping,11488,UPS,1,CWL Brands,Shipped,1529,30,474,DW,1.00,$0.0000,1.00,$120.00,$120.00,$0.05,2.00
01-03-2024,474,VIP VAPE STORE,826 2nd St.,San Rafael,California,94901,VIP VAPE STORE,,11,Shipping,1529,Fulfilled,DerekW,,,,,,,1937,6958,Shipping,317,Shipping,Shipping Tracking: 1Z90V7160336842486,Shipping,11488,UPS,1,CWL Brands,Shipped,1529,30,474,DW,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,3.00
01-03-2024,474,VIP VAPE STORE,826 2nd St.,San Rafael,California,94901,VIP VAPE STORE,,81,FG- MC12 Focus+ Flow,1529,Fulfilled,DerekW,,,,,,,1937,6937,FG- MC12 Focus+ Flow,317,MC12 Focus + Flow,MC12 Focus + Flow,Sale,11488,UPS,1,CWL Brands,Shipped,1529,30,474,DW,5.00,$576.0000,1.00,$576.00,"$2,880.00","$1,014.93",1.00
01-03-2024,551,One Love,1600 w 1st st,Loveland,Colorado,80537,One Love,,11,Shipping,1524,Fulfilled,Jared,,,,,,,1932,6915,Shipping,393,Shipping,Shipping,Shipping,11396,UPS,1,CWL Brands,Shipped,1524,30,551,JL,1.00,$0.0000,1.00,$55.00,$55.00,$0.05,3.00
01-03-2024,551,One Love,1600 w 1st st,Loveland,Colorado,80537,One Love,,11,Shipping,1524,Fulfilled,Jared,,,,,,,1932,6928,Shipping,393,Shipping,Shipping Tracking: 1Z90V7160334711166,Shipping,11396,UPS,1,CWL Brands,Shipped,1524,30,551,JL,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,4.00
01-03-2024,551,One Love,1600 w 1st st,Loveland,Colorado,80537,One Love,,81,FG- MC12 Focus+ Flow,1524,Fulfilled,Jared,,,,,,,1932,6913,FG- MC12 Focus+ Flow,393,MC12 Focus + Flow,MC12 Focus + Flow,Sale,11396,UPS,1,CWL Brands,Shipped,1524,30,551,JL,2.00,$576.0000,1.00,$612.00,"$1,224.00",$405.97,1.00
01-03-2024,551,One Love,1600 w 1st st,Loveland,Colorado,80537,One Love,,132,FG- MC8 release+relax,1524,Fulfilled,Jared,,,,,,,1932,6914,FG- MC8 Kanva OG Kanna+ Kava,393,MC8 release+relax,MC8 Kanva OG-Kanna+Kava,Sale,11396,UPS,1,CWL Brands,Shipped,1524,30,551,JL,1.00,$432.0000,1.00,$432.00,$432.00,$138.70,2.00
01-04-2024,240,Outter Limits,7902 N MacArthur Blvd,Oklahoma City,Oklahoma,73132,Outter Limits,,11,Shipping,1540,Fulfilled,Jared,,,,,,,1946,6968,Shipping,112,Shipping,Shipping,Shipping,11556,UPS,1,CWL Brands,Shipped,1540,30,240,JL,1.00,$0.0000,1.00,$15.00,$15.00,$0.05,1.00
01-04-2024,240,Outter Limits,7902 N MacArthur Blvd,Oklahoma City,Oklahoma,73132,Outter Limits,,11,Shipping,1540,Fulfilled,Jared,,,,,,,1946,6987,Shipping,112,Shipping,Shipping Tracking: 1Z90V7160314315257,Shipping,11556,UPS,1,CWL Brands,Shipped,1540,30,240,JL,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,4.00
01-04-2024,240,Outter Limits,7902 N MacArthur Blvd,Oklahoma City,Oklahoma,73132,Outter Limits,,136,Acrylic-003,1540,Fulfilled,Jared,,,,,,,1946,6979,Acrylic-003,112,2-Tier Acrylic Display  Empty White,2-Tier Acrylic Display  Empty White,Sale,11556,UPS,1,CWL Brands,Shipped,1540,30,240,JL,1.00,$19.9900,1.00,$0.00,$0.00,$0.00,3.00
01-04-2024,240,Outter Limits,7902 N MacArthur Blvd,Oklahoma City,Oklahoma,73132,Outter Limits,,156,MC8- Focus+Flow-(Refill),1540,Fulfilled,Jared,,,,,,,1946,6978,FG-F+F refill,112,MC8 Focus + Flow (Refill),Focus + Flow MC8-refill wt bx12,Sale,11556,UPS,1,CWL Brands,Shipped,1540,30,240,JL,6.00,$432.0000,1.00,$48.00,$288.00,$789.14,2.00
01-05-2024,511,Drip Botanical Tea Bar,6166 Gunn Hwy,Tampa,Florida,33625,Drip Botanical Tea Bar,,11,Shipping,1548,Fulfilled,Jared,,,,,,,1958,6990,Shipping,353,Shipping,Shipping,Shipping,11587,UPS,1,CWL Brands,Shipped,1548,30,511,JL,1.00,$0.0000,1.00,$90.00,$90.00,$0.05,3.00
01-05-2024,511,Drip Botanical Tea Bar,6166 Gunn Hwy,Tampa,Florida,33625,Drip Botanical Tea Bar,,11,Shipping,1548,Fulfilled,Jared,,,,,,,1958,6993,Shipping,353,Shipping,Shipping Tracking: 1Z90V7160314708074,Shipping,11587,UPS,1,CWL Brands,Shipped,1548,30,511,JL,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,5.00
01-05-2024,511,Drip Botanical Tea Bar,6166 Gunn Hwy,Tampa,Florida,33625,Drip Botanical Tea Bar,,121,Acrylic-002,1548,Fulfilled,Jared,,,,,,,1958,6992,Acrylic-002,353,3-Tier Acrylic Display  Empty White,3-Tier Acrylic Display  Empty White,Sale,11587,UPS,1,CWL Brands,Shipped,1548,30,511,JL,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,4.00
01-05-2024,511,Drip Botanical Tea Bar,6166 Gunn Hwy,Tampa,Florida,33625,Drip Botanical Tea Bar,,132,FG- MC8 release+relax,1548,Fulfilled,Jared,,,,,,,1958,6989,FG- MC8 Kanva OG Kanna+ Kava,353,MC8 release+relax,MC8 Kanva OG-Kanna+Kava,Sale,11587,UPS,1,CWL Brands,Shipped,1548,30,511,JL,1.00,$432.0000,1.00,$384.00,$384.00,$138.70,2.00
01-05-2024,511,Drip Botanical Tea Bar,6166 Gunn Hwy,Tampa,Florida,33625,Drip Botanical Tea Bar,,156,MC8- Focus+Flow-(Refill),1548,Fulfilled,Jared,,,,,,,1958,6988,FG-F+F refill,353,MC8 Focus + Flow (Refill),Focus + Flow MC8-refill wt bx12,Sale,11587,UPS,1,CWL Brands,Shipped,1548,30,511,JL,3.00,$432.0000,1.00,$360.00,"$1,080.00","$3,156.56",1.00
01-06-2024,115,Honest Inc,1802 Enterprise Blvd,West Sacramento,California,95691,Honest Inc,Ben Wallner,11,Shipping,1561,Fulfilled,DerekW,,,,,,,1970,7038,Shipping,25,Shipping,Shipping,Shipping,12119,UPS,1,CWL Brands,Shipped,1561,30,115,DW,1.00,$0.0000,1.00,$250.00,$250.00,$0.05,2.00
01-06-2024,115,Honest Inc,1802 Enterprise Blvd,West Sacramento,California,95691,Honest Inc,Ben Wallner,11,Shipping,1561,Fulfilled,DerekW,,,,,,,1970,7512,Shipping,25,Shipping,Shipping Tracking: XPO - 158-710215,Shipping,12119,UPS,1,CWL Brands,Shipped,1561,30,115,DW,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,3.00
01-06-2024,115,Honest Inc,1802 Enterprise Blvd,West Sacramento,California,95691,Honest Inc,Ben Wallner,156,MC8- Focus+Flow-(Refill),1561,Fulfilled,DerekW,,,,,,,1970,7037,FG-F+F refill,25,MC8 Focus + Flow (Refill),Focus + Flow MC8-refill wt bx12,Sale,12119,UPS,1,CWL Brands,Shipped,1561,30,115,DW,42.00,$432.0000,1.00,$336.00,"$14,112.00","$6,575.27",1.00
01-08-2024,573,The Stash Smoke Shop Ltd,17411 SE McLoughlin Blvd,Milwaukie,Oregon,97267,The Stash Smoke Shop Ltd,,11,Shipping,1568,Fulfilled,Jared,,,,,,,1976,7048,Shipping,415,Shipping,Shipping,Shipping,11709,UPS,1,CWL Brands,Shipped,1568,30,573,JL,1.00,$0.0000,1.00,$30.00,$30.00,$0.05,2.00
01-08-2024,573,The Stash Smoke Shop Ltd,17411 SE McLoughlin Blvd,Milwaukie,Oregon,97267,The Stash Smoke Shop Ltd,,11,Shipping,1568,Fulfilled,Jared,,,,,,,1976,7065,Shipping,415,Shipping,Shipping Tracking: 1Z90V7160313738409,Shipping,11709,UPS,1,CWL Brands,Shipped,1568,30,573,JL,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,3.00
01-08-2024,573,The Stash Smoke Shop Ltd,17411 SE McLoughlin Blvd,Milwaukie,Oregon,97267,The Stash Smoke Shop Ltd,,156,MC8- Focus+Flow-(Refill),1568,Fulfilled,Jared,,,,,,,1976,7047,FG-F+F refill,415,MC8 Focus + Flow (Refill),Focus + Flow MC8-refill wt bx12,Sale,11709,UPS,1,CWL Brands,Shipped,1568,30,573,JL,2.00,$432.0000,1.00,$408.00,$816.00,"$1,146.02",1.00
01-09-2024,114,Pot O' Gold Variety & Pawn,161 W Main Street,Camden,Tennessee,38320,Pot O' Gold Variety & Pawn,,11,Shipping,1575,Fulfilled,DerekW,,,,,,,1982,7063,Shipping,24,Shipping,Shipping,Shipping,11839,UPS,1,CWL Brands,Shipped,1575,30,114,DW,1.00,$0.0000,1.00,$50.00,$50.00,$0.05,3.00
01-09-2024,114,Pot O' Gold Variety & Pawn,161 W Main Street,Camden,Tennessee,38320,Pot O' Gold Variety & Pawn,,11,Shipping,1575,Fulfilled,DerekW,,,,,,,1982,7095,Shipping,24,Shipping,Shipping Tracking: 1Z90V7160329077693,Shipping,11839,UPS,1,CWL Brands,Shipped,1575,30,114,DW,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,4.00
01-09-2024,114,Pot O' Gold Variety & Pawn,161 W Main Street,Camden,Tennessee,38320,Pot O' Gold Variety & Pawn,,131,FG- BX12 -release+relax,1575,Fulfilled,DerekW,,,,,,,1982,7062,FG- BX12 -Kanva OG 60ml,24,BX12 - release+relax,BX12 Kanva OG-Kanna+Kava 60ml,Sale,11839,UPS,1,CWL Brands,Shipped,1575,30,114,DW,4.00,$54.0000,1.00,$54.00,$216.00,$69.35,2.00
