Issued Date,Account id,Billing Name,Bill to address,Billing City,Billing State,Billing Zip,Customer,Default Sales Rep,Product ID,Product,Sales order Number,So status,Sales Rep,Sales Order Custom Field 1,Sales Order Custom Field 2,So c3,Sales Order Custom Field 4,Sales Order Custom Field 5,So c6,SO ID,SO Item ID,SO Item Product Number,Product description,Soitem desc,SO Item Type,BOL,Carrier name,Ship status,SO Number,Status ID,Sales man initials,Company name,Qty fulfilled,Last Unit Price,So ct,Unit Price,Total Price,Total cost,Sales Order Line Item
01-01-2026,1194,Supreme Glass Wholesale Inc,"1525 S Baker Ave, Unit B",Ontario,California,91761,Supreme Glass Wholesale Inc,Shane Hymas,206,KB-4000,10072,Fulfilled,Shane-Inactive,,,,,,,25120,76011,KB-4000,Focus MC12,Focus MC12,Sale,229180,UPS,Shipped,10072,30,SH,CWL Brands,55.00,$576.0000,1.00,$576.00,"$31,680.00","$12,085.24",1.00
01-01-2026,1194,Supreme Glass Wholesale Inc,"1525 S Baker Ave, Unit B",Ontario,California,91761,Supreme Glass Wholesale Inc,Shane Hymas,11,Shipping,10072,Fulfilled,Shane-Inactive,,,,,,,25120,76314,Shipping,Shipping,Shipping Tracking: https://www.saia.com/track/details;pro=77121405720,Shipping,229180,UPS,Shipped,10072,30,SH,CWL Brands,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,2.00
01-01-2026,1743,7 LUCKY FOOD MART,"612 SE 223RD AVE
IN STORE",GRESHAM,Oregon,97030-2510,7 LUCKY FOOD MART,,204,KB-3003,#0A5PI616B625OB,Fulfilled,ShipStation,,,,,,,25111,75986,KB-3003,Mango-Tango 12pk,Mango-Tango 12pk,Sale,228626,Will Call,Shipped,#0A5PI616B625OB,30,,CWL Brands,2.00,$72.0000,1.00,$59.88,$119.76,$34.47,1.00
01-02-2026,204,Durity Distro,"2623 s Fry st, Unit 154",Boise,Idaho,83709,Durity Distro,,206,KB-4000,10074,Fulfilled,admin,,,,,,,25132,76040,KB-4000,Focus MC12,Focus MC12,Sale,229043,UPS,Shipped,10074,30,ADM,CWL Brands,112.00,$576.0000,2.00,$576.00,"$64,512.00","$24,913.95",2.00
01-02-2026,204,Durity Distro,"2623 s Fry st, Unit 154",Boise,Idaho,83709,Durity Distro,,11,Shipping,10074,Fulfilled,admin,,,,,,,25132,76258,Shipping,Shipping,Shipping Tracking: WILL CALL,Shipping,229043,UPS,Shipped,10074,30,ADM,CWL Brands,2.00,$0.0000,2.00,$0.00,$0.00,$0.00,4.00
01-02-2026,451,Inderbitzin Distributors,901 Valley Ave NW,Puyallup,Washington,98371,Inderbitzin Distributors,,206,KB-4000,10075,Fulfilled,admin,,,,,,,25133,76041,KB-4000,Focus MC12,Focus MC12,Sale,229210,UPS,Shipped,10075,30,ADM,CWL Brands,42.00,$576.0000,1.00,$576.00,"$24,192.00","$9,228.73",1.00
01-02-2026,451,Inderbitzin Distributors,901 Valley Ave NW,Puyallup,Washington,98371,Inderbitzin Distributors,,194,KB-4001,10075,Fulfilled,admin,,,,,,,25133,76042,KB-4001,Release + Relax MC (12 boxes),Release + Relax MC (12 boxes),Sale,229210,UPS,Shipped,10075,30,ADM,CWL Brands,2.00,$651.0000,1.00,$576.00,"$1,152.00",$350.39,2.00
01-02-2026,451,Inderbitzin Distributors,901 Valley Ave NW,Puyallup,Washington,98371,Inderbitzin Distributors,,197,KB-4002,10075,Fulfilled,admin,,,,,,,25133,76043,KB-4002,Zoom MC (12 boxes),Zoom MC (12 boxes),Sale,229210,UPS,Shipped,10075,30,ADM,CWL Brands,12.00,$504.0000,1.00,$423.36,"$5,080.32","$1,431.68",3.00
01-02-2026,451,Inderbitzin Distributors,901 Valley Ave NW,Puyallup,Washington,98371,Inderbitzin Distributors,,11,Shipping,10075,Fulfilled,admin,,,,,,,25133,76315,Shipping,Shipping,Shipping Tracking: https://www.saia.com/track/details;pro=77121413560,Shipping,229210,UPS,Shipped,10075,30,ADM,CWL Brands,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,4.00
01-05-2026,2046,Unio Enterprises LLC,5804 W FRANKLIN RD,Boise,Idaho,83709,Unio Enterprises LLC,Ben Wallner,206,KB-4000,10090,Fulfilled,BenW,,,,,,,25186,76265,KB-4000,Focus MC12,Focus MC12,Sale,229685,Will Call,Shipped,10090,30,BW,CWL Brands,5.00,$576.0000,1.00,$626.40,"$3,132.00","$1,097.95",1.00
