Customer id,Sales order Number,Posting Date,Customer,Billing Name,Billing Address,Bill to city,Billing State,Billing Zip,Sales Order ID,Unit price,Product ID,Product,Product desc,Sales Order Product ID,Sales person,Invoiced cost,Invoiced margin,Revenue,Order value
1422,10076,01-05-2026,New Smoke Shop,New Smoke Shop,1 Coppland St,Quincy,Massachusetts,2169,25169,$60.00,207,KB-3000,Focus+Flow 12PK,76188,DerekW,$20.98,$219.02,$240.00,$240.00
1422,10076,01-05-2026,New Smoke Shop,New Smoke Shop,1 Coppland St,Quincy,Massachusetts,2169,25169,$0.00,11,Shipping,Shipping,76191,DerekW,$0.05,-$0.05,$0.00,$0.00
1359,10106,01-05-2026,Cigarville Inc,Cigarville Inc,51 W 14th St,New York,New York,10011,25201,$576.00,206,KB-4000,Focus MC12,76305,DerekW,-$219.73,-$500.27,-$720.00,-$720.00
293,10089,01-05-2026,Canal Smoke Shop,Canal Smoke,342 Canal St,New York,New York,10013,25185,$576.00,206,KB-4000,Focus MC12,76263,DerekW,$222.45,$497.55,$720.00,$720.00
293,10089,01-05-2026,Canal Smoke Shop,Canal Smoke,342 Canal St,New York,New York,10013,25185,$0.00,11,Shipping,Shipping,76264,DerekW,$0.05,$24.95,$25.00,$25.00
817,10083,01-05-2026,WILD SIDE AMHERST-AM1 (MA),WILD SIDE AMHERST-AM1 (MA),332 College St,Amherst,Massachusetts,1002,25177,$576.00,206,KB-4000,Focus MC12,76228,admin,$687.55,"$1,321.25","$2,008.80","$2,008.80"
700,10094,01-05-2026,SMOKE RINGS WINSTON SALEM-WS (NC),SMOKE RINGS WINSTON SALEM-WS (NC),1106 Burke St,Winston-Salem,North Carolina,27101,25188,$576.00,206,KB-4000,Focus MC12,76274,admin,$222.45,$447.15,$669.60,$669.60
700,10094,01-05-2026,SMOKE RINGS WINSTON SALEM-WS (NC),SMOKE RINGS WINSTON SALEM-WS (NC),1106 Burke St,Winston-Salem,North Carolina,27101,25188,$60.00,207,KB-3000,Focus+Flow 12PK,76275,admin,$41.96,$404.44,$446.40,$446.40
821,10097,01-05-2026,SMOKE RINGS GREENSBORO-GB2 (NC),SMOKE RINGS GREENSBORO-GB2 (NC),2511 Battleground Ave Unit C,Greensboro,North Carolina,27408,25191,$60.00,207,KB-3000,Focus+Flow 12PK,76279,admin,$26.22,$252.78,$279.00,$279.00
904,10098,01-05-2026,SMOKE RINGS CHAPEL HILL-CH2 (NC),SMOKE RINGS CHAPEL HILL-CH2 (NC),1728 Fordham Blvd Suite 147,Chapel Hill,North Carolina,27517,25192,$42.00,196,KB-3002,Zoom 12PK,76280,admin,$81.15,$128.85,$210.00,$210.00
815,10096,01-05-2026,SMOKE RINGS GARNER-RA2 (NC),SMOKE RINGS GARNER-RA2 (NC),106 Bratton Dr Suite 4,Garner,North Carolina,27529,25190,$60.00,207,KB-3000,Focus+Flow 12PK,76278,admin,$52.45,$505.55,$558.00,$558.00
698,10095,01-05-2026,SMOKE RINGS WILMINGTON-WT (NC),SMOKE RINGS WILMINGTON-WT (NC),1207 S Kerr Ave,Wilmington,North Carolina,28403,25189,$576.00,206,KB-4000,Focus MC12,76276,admin,$222.45,$447.15,$669.60,$669.60
698,10095,01-05-2026,SMOKE RINGS WILMINGTON-WT (NC),SMOKE RINGS WILMINGTON-WT (NC),1207 S Kerr Ave,Wilmington,North Carolina,28403,25189,$60.00,207,KB-3000,Focus+Flow 12PK,76277,admin,$15.73,$151.67,$167.40,$167.40
692,10113,01-05-2026,WILD SIDE CONWAY-CW (SC),WILD SIDE CONWAY-CW (SC),"1194 Highway 544 , Unit 3",Conway,South Carolina,29526,25207,$60.00,207,KB-3000,Focus+Flow 12PK,76316,admin,$31.47,$303.33,$334.80,$334.80
701,10110,01-05-2026,WILD SIDE MANCHESTER-MC1 (NH),WILD SIDE MANCHESTER-MC1 (NH),1350 Elm St,Manchester,New Hampshire,3101,25205,$576.00,206,KB-4000,Focus MC12,76311,admin,$216.84,$452.76,$669.60,$669.60
860,10114,01-05-2026,WILD SIDE GAINESVILLE-GV2 (FL),WILD SIDE GAINESVILLE-GV2 (FL),1029 W. University Ave,Gainesville,Florida,32601,25208,$60.00,207,KB-3000,Focus+Flow 12PK,76317,admin,$36.71,$353.89,$390.60,$390.60
702,10085,01-05-2026,WILD SIDE PORTLAND-PT (ME),WILD SIDE PORTLAND-PT (ME),102 Portland St,Portland,Maine,4101,25179,$576.00,206,KB-4000,Focus MC12,76243,admin,$222.45,$447.15,$669.60,$669.60
702,10085,01-05-2026,WILD SIDE PORTLAND-PT (ME),WILD SIDE PORTLAND-PT (ME),102 Portland St,Portland,Maine,4101,25179,$60.00,207,KB-3000,Focus+Flow 12PK,76244,admin,$15.73,$151.67,$167.40,$167.40
702,10085,01-05-2026,WILD SIDE PORTLAND-PT (ME),WILD SIDE PORTLAND-PT (ME),102 Portland St,Portland,Maine,4101,25179,$42.00,196,KB-3002,Zoom 12PK,76242,admin,$32.46,$51.54,$84.00,$84.00
707,10084,01-05-2026,WILD SIDE WEST LAFAYETTE-LF (IN),WILD SIDE WEST LAFAYETTE-LF (IN),111 S River Rd Suite C,West Lafayette,Indiana,47906,25178,$60.00,193,KB-3001,Release + Relax 12pk,76235,admin,$49.50,$117.90,$167.40,$167.40
813,10103,01-05-2026,WILD SIDE LANSING-LS (MI),WILD SIDE LANSING-LS (MI),6527 S Cedar St. Suite A,Lansing,Michigan,48911,25198,$60.00,207,KB-3000,Focus+Flow 12PK,76301,admin,$20.98,$202.22,$223.20,$223.20
813,10103,01-05-2026,WILD SIDE LANSING-LS (MI),WILD SIDE LANSING-LS (MI),6527 S Cedar St. Suite A,Lansing,Michigan,48911,25198,$60.00,193,KB-3001,Release + Relax 12pk,76302,admin,$33.00,$78.60,$111.60,$111.60
827,10087,01-05-2026,WILD SIDE KALAMAZOO-KZ (MI),WILD SIDE KALAMAZOO-KZ (MI),2909 Howard St,Kalamazoo,Michigan,49006,25181,$60.00,207,KB-3000,Focus+Flow 12PK,76246,admin,$20.98,$202.22,$223.20,$223.20
1453,10079,01-05-2026,Pluto's Smoke Shop | ND,Pluto's Smoke Shop | ND,1440 S Washington St,Grand Forks,North Dakota,58201,25172,$0.00,74,CC Processing,Credit Card Processing Fee,76238,BrandonG,$0.00,$9.45,$9.45,$9.45
1453,10079,01-05-2026,Pluto's Smoke Shop | ND,Pluto's Smoke Shop | ND,1440 S Washington St,Grand Forks,North Dakota,58201,25172,$60.00,207,KB-3000,Focus+Flow 12PK,76205,BrandonG,$26.22,$273.78,$300.00,$300.00
1453,10079,01-05-2026,Pluto's Smoke Shop | ND,Pluto's Smoke Shop | ND,1440 S Washington St,Grand Forks,North Dakota,58201,25172,$0.00,11,Shipping,Shipping,76206,BrandonG,$0.05,$14.95,$15.00,$15.00
699,10108,01-05-2026,SMOKE ZONE ENFIELD-EN (CT),SMOKE ZONE ENFIELD-EN (CT),25 Enfield St,Enfield,Connecticut,6082,25203,$576.00,206,KB-4000,Focus MC12,76308,admin,$650.51,"$1,358.29","$2,008.80","$2,008.80"
907,10115,01-05-2026,WILD SIDE CHAMPAIGN-CP2 (IL),WILD SIDE CHAMPAIGN-CP2 (IL),604 S. Neil St. Suite 103,Champaign,Illinois,61820,25209,$60.00,193,KB-3001,Release + Relax 12pk,76318,admin,$33.00,$78.60,$111.60,$111.60
569,10082,01-05-2026,Mile High Botanicals,Mile High Botanicals,"1540 S Holly St, Unit #5",Denver,Colorado,80222,25176,$576.00,206,KB-4000,Focus MC12,76221,BrandonG,$444.89,$995.11,"$1,440.00","$1,440.00"
858,10081,01-05-2026,iCloud Vape and Smoke | Casper,iCloud Vape and Smoke | Casper,"ATTN: Mason, 4070 Plaza Dr",Casper,Wyoming,82604,25175,$0.00,74,CC Processing,Credit Card Processing Fee,76220,BrandonG,$0.00,$41.04,$41.04,$41.04
858,10081,01-05-2026,iCloud Vape and Smoke | Casper,iCloud Vape and Smoke | Casper,"ATTN: Mason, 4070 Plaza Dr",Casper,Wyoming,82604,25175,$576.00,206,KB-4000,Focus MC12,76219,BrandonG,$458.37,$909.63,"$1,368.00","$1,368.00"
92,10074,01-05-2026,Durity Distro,Durity Distro,"2623 s Fry st, Unit 154",Boise,Idaho,83709,25132,$576.00,206,KB-4000,Focus MC12,76040,admin,"$12,456.97","$19,799.03","$32,256.00","$32,256.00"
1697,10092,01-05-2026,White Cloud- Post Falls,White Cloud- Post Falls,6290 W Seltice Way Suite 105,Post Falls,Idaho,83854,25187,$0.00,199,Acrylic-007,4-Tier Acrylic Focus+Flow Topper-  Empty White,76272,Jared,$95.25,-$95.25,$0.00,$0.00
1697,10092,01-05-2026,White Cloud- Post Falls,White Cloud- Post Falls,6290 W Seltice Way Suite 105,Post Falls,Idaho,83854,25187,$576.00,206,KB-4000,Focus MC12,76270,Jared,"$6,591.95","$11,768.05","$18,360.00","$18,360.00"
1697,10092,01-05-2026,White Cloud- Post Falls,White Cloud- Post Falls,6290 W Seltice Way Suite 105,Post Falls,Idaho,83854,25187,$0.00,11,Shipping,Shipping,76271,Jared,$0.05,$227.95,$228.00,$228.00
1712,10070,01-05-2026,Kwick Shop | UT,Kwick Shop | UT,"ATTN: Amer
803 25th Street",Ogden,Utah,84401,25107,$4.50,186,KB-2000,FG-Focus and Flow 2oz,75973,BrandonG,$1.95,-$1.95,$0.00,$0.00
1712,10070,01-05-2026,Kwick Shop | UT,Kwick Shop | UT,"ATTN: Amer
803 25th Street",Ogden,Utah,84401,25107,$6.00,203,KB-2003,Mango-Tango 15ml 120mg,75976,BrandonG,$3.76,-$3.76,$0.00,$0.00
1712,10070,01-05-2026,Kwick Shop | UT,Kwick Shop | UT,"ATTN: Amer
803 25th Street",Ogden,Utah,84401,25107,$4.50,191,KB-2001,Release + Relax 60ml,75974,BrandonG,$3.83,-$3.83,$0.00,$0.00
1712,10070,01-05-2026,Kwick Shop | UT,Kwick Shop | UT,"ATTN: Amer
803 25th Street",Ogden,Utah,84401,25107,$3.50,195,KB-2002,Zoom 60ml bottle,75975,BrandonG,$3.77,-$3.77,$0.00,$0.00
854,10099,01-05-2026,WILD SIDE TEMPE-TP (AZ),WILD SIDE TEMPE-TP (AZ),"405 W. University Dr.
Suite 102",Tempe,Arizona,85281,25195,$576.00,206,KB-4000,Focus MC12,76294,admin,$216.84,$452.76,$669.60,$669.60
