Issued date,Sales order Number,Sales Order ID,SO Item ID,Account ID,SO Item Product Number,Product ID,Product,Billing Address,Billing City,Billing State,Billing Zip,Sales Rep Initials,Customer Name,Item,Product Description,Account ID,Sales person,Qty Fulfilled,Unit price,Total price,Total cost,Sales Order Line Item,So ct
01-01-2026,10072,25120,76011,1194,KB-4000,206,KB-4000,"1525 S Baker Ave, Unit B",Ontario,California,91761,SH,Supreme Glass Wholesale Inc,KB-4000,Focus MC12,1194,Shane-Inactive,55,$576.00,"$31,680.00","$12,085.24",1.00,1.00
01-01-2026,10072,25120,76314,1194,Shipping,11,Shipping,"1525 S Baker Ave, Unit B",Ontario,California,91761,SH,Supreme Glass Wholesale Inc,Shipping,Shipping Tracking: https://www.saia.com/track/details;pro=77121405720,1194,Shane-Inactive,1,$0.00,$0.00,$0.00,2.00,1.00
01-02-2026,10074,25132,76040,204,KB-4000,206,KB-4000,"2623 s Fry st, Unit 154",Boise,Idaho,83709,ADM,Durity Distro,KB-4000,Focus MC12,204,admin,112,$576.00,"$64,512.00","$24,913.95",2.00,2.00
01-02-2026,10075,25133,76041,451,KB-4000,206,KB-4000,901 Valley Ave NW,Puyallup,Washington,98371,ADM,Inderbitzin Distributors,KB-4000,Focus MC12,451,admin,42,$576.00,"$24,192.00","$9,228.73",1.00,1.00
01-02-2026,10075,25133,76042,451,KB-4001,194,KB-4001,901 Valley Ave NW,Puyallup,Washington,98371,ADM,Inderbitzin Distributors,KB-4001,Release + Relax MC (12 boxes),451,admin,2,$576.00,"$1,152.00",$350.39,2.00,1.00
01-02-2026,10075,25133,76043,451,KB-4002,197,KB-4002,901 Valley Ave NW,Puyallup,Washington,98371,ADM,Inderbitzin Distributors,KB-4002,Zoom MC (12 boxes),451,admin,12,$423.36,"$5,080.32","$1,431.68",3.00,1.00
01-02-2026,10074,25132,76258,204,Shipping,11,Shipping,"2623 s Fry st, Unit 154",Boise,Idaho,83709,ADM,Durity Distro,Shipping,Shipping Tracking: WILL CALL,204,admin,2,$0.00,$0.00,$0.00,4.00,2.00
01-02-2026,10075,25133,76315,451,Shipping,11,Shipping,901 Valley Ave NW,Puyallup,Washington,98371,ADM,Inderbitzin Distributors,Shipping,Shipping Tracking: https://www.saia.com/track/details;pro=77121413560,451,admin,1,$0.00,$0.00,$0.00,4.00,1.00
01-05-2026,10092,25187,76272,1966,Acrylic-007,199,Acrylic-007,6290 W Seltice Way Suite 105,Post Falls,Idaho,83854,JL,White Cloud- Post Falls,Acrylic-007,4-Tier Acrylic Focus+Flow Topper-  Empty White,1966,Jared,3,$0.00,$0.00,$0.00,3.00,1.00
01-05-2026,10079,25172,76238,1676,CC Processing,74,CC Processing,1440 S Washington St,Grand Forks,North Dakota,58201,BG,Pluto's Smoke Shop | ND,CC Processing,Credit Card Processing Fee,1676,BrandonG,1,$9.45,$9.45,$0.00,3.00,1.00
01-05-2026,10081,25175,76220,1022,CC Processing,74,CC Processing,"ATTN: Mason, 4070 Plaza Dr",Casper,Wyoming,82604,BG,iCloud Vape and Smoke | Casper,CC Processing,Credit Card Processing Fee,1022,BrandonG,1,$41.04,$41.04,$0.00,2.00,1.00
01-05-2026,10100,25196,76296,245,FG-120g Red Powder,43,FG-120g Red Powder,607 n Orchard,boise,Idaho,83706,ADM,Elevated Alternatives,KB-021,120g Red Powder,245,admin,3,$5.60,$16.80,$7.97,2.00,1.00
01-05-2026,10100,25196,76297,245,FG-120g White Powder,44,FG-120g White Powder,607 n Orchard,boise,Idaho,83706,ADM,Elevated Alternatives,KB-022,120g White Powder,245,admin,2,$5.60,$11.20,$5.34,3.00,1.00
01-05-2026,10120,25215,76343,1235,KB-038,174,KB-038,1810 parkway view dr,pittsburgh,Pennsylvania,15205,DW,pittsburgh wholesale,KB-038,"Acrylic Kit- Black( 4 FF, 2 Zoom, 1 Mango, 1 RR)",1235,DerekW,1,$299.00,$299.00,$107.10,1.00,1.00
01-05-2026,10076,25169,76188,1644,KB-3000,207,KB-3000,1 Coppland St,Quincy,Massachusetts,2169,DW,New Smoke Shop,KB-3000,Focus+Flow 12PK,1644,DerekW,4,$60.00,$240.00,$20.98,1.00,1.00
01-05-2026,10079,25172,76205,1676,KB-3000,207,KB-3000,1440 S Washington St,Grand Forks,North Dakota,58201,BG,Pluto's Smoke Shop | ND,KB-3000,Focus+Flow 12PK,1676,BrandonG,5,$60.00,$300.00,$26.22,1.00,1.00
01-05-2026,10085,25179,76244,864,KB-3000,207,KB-3000,102 Portland St,Portland,Maine,4101,ADM,WILD SIDE PORTLAND-PT (ME),KB-3000,Focus+Flow 12PK,864,admin,6,$55.80,$334.80,$31.47,6.00,2.00
01-05-2026,10087,25181,76246,991,KB-3000,207,KB-3000,2909 Howard St,Kalamazoo,Michigan,49006,ADM,WILD SIDE KALAMAZOO-KZ (MI),KB-3000,Focus+Flow 12PK,991,admin,8,$55.80,$446.40,$41.96,2.00,2.00
01-05-2026,10094,25188,76275,862,KB-3000,207,KB-3000,1106 Burke St,Winston-Salem,North Carolina,27101,ADM,SMOKE RINGS WINSTON SALEM-WS (NC),KB-3000,Focus+Flow 12PK,862,admin,16,$55.80,$892.80,$83.91,4.00,2.00
01-05-2026,10095,25189,76277,860,KB-3000,207,KB-3000,1207 S Kerr Ave,Wilmington,North Carolina,28403,ADM,SMOKE RINGS WILMINGTON-WT (NC),KB-3000,Focus+Flow 12PK,860,admin,6,$55.80,$334.80,$31.47,4.00,2.00
01-05-2026,10096,25190,76278,979,KB-3000,207,KB-3000,106 Bratton Dr Suite 4,Garner,North Carolina,27529,ADM,SMOKE RINGS GARNER-RA2 (NC),KB-3000,Focus+Flow 12PK,979,admin,20,$55.80,"$1,116.00",$104.89,2.00,2.00
01-05-2026,10097,25191,76279,985,KB-3000,207,KB-3000,2511 Battleground Ave Unit C,Greensboro,North Carolina,27408,ADM,SMOKE RINGS GREENSBORO-GB2 (NC),KB-3000,Focus+Flow 12PK,985,admin,10,$55.80,$558.00,$52.45,2.00,2.00
