Issued date,Account ID,Bill to name,Billing Address,Billing City,Billing State,Billing Zip,Customer Name,Sales Rep,Product ID,Product,Sales order Number,SO Status,Sales person,So c1,So c2,Sales Order Custom Field 3,So c4,So c5,Sales Order Custom Field 6,Sales Order ID,SO Item ID,SO Item Product Number,Customer ID,Product description,Sales Order Item Description,Soitem type,BOL,Carrier name,Company id,Company name,Ship status,SO Number,Status ID,Account ID2,Sales Rep Initials,Fulfilled Quantity,Last Unit Price,So ct,Unit price,Total price,Total cost,Sales Order Line Item
45992,1554,Body Logix | TX,111 E. 17th Street,Austin,Texas,78774,Body Logix | TX,,207,KB-3000,9690,Fulfilled,Jared,,,,,,,23974,72118,KB-3000,1339,Focus+Flow 12PK,Focus+Flow 12PK,Credit Return,,,0,,,,0,1554,JL,1,60,1,-60,-60,-5.24,1
45992,1076,woodland distributors,1233 e beamer st Suite E1,woodland,California,95776,woodland distributors,Ben Wallner,206,KB-4000,9688,Fulfilled,BenW,,107718165,,,,,23968,72098,KB-4000,912,Focus MC12,Focus MC12,Sale,217668,R+L,1,CWL Brands,Shipped,9688,30,1076,BW,10,576,1,612,6120,2091.02,1
45992,1076,woodland distributors,1233 e beamer st Suite E1,woodland,California,95776,woodland distributors,Ben Wallner,11,Shipping,9688,Fulfilled,BenW,,107718165,,,,,23968,72099,Shipping,912,Shipping,Shipping,Shipping,217668,R+L,1,CWL Brands,Shipped,9688,30,1076,BW,1,0,1,120,120,0.05,2
45992,1076,woodland distributors,1233 e beamer st Suite E1,woodland,California,95776,woodland distributors,Ben Wallner,11,Shipping,9688,Fulfilled,BenW,,107718165,,,,,23968,72157,Shipping,912,Shipping,Shipping Tracking: 1Z90V7160328716299,Shipping,217668,R+L,1,CWL Brands,Shipped,9688,30,1076,BW,1,0,1,0,0,0,3
45992,1686,Space Smoke Shop,127 Wanaque Ave,Pompton Lakes,New Jersey,7442,Space Smoke Shop,Derek Whitworth,74,CC Processing,9685,Fulfilled,DerekW,,,,,,,23961,72117,CC Processing,1463,Credit Card Processing Fee,Credit Card Processing Fee,Sale,217644,UPS,1,CWL Brands,Shipped,9685,30,1686,DW,1,0,1,7.65,7.65,0,3
45992,1686,Space Smoke Shop,127 Wanaque Ave,Pompton Lakes,New Jersey,7442,Space Smoke Shop,Derek Whitworth,207,KB-3000,9685,Fulfilled,DerekW,,,,,,,23961,72069,KB-3000,1463,Focus+Flow 12PK,Focus+Flow 12PK,Sale,217644,UPS,1,CWL Brands,Shipped,9685,30,1686,DW,4,60,1,60,240,20.98,1
45992,1686,Space Smoke Shop,127 Wanaque Ave,Pompton Lakes,New Jersey,7442,Space Smoke Shop,Derek Whitworth,11,Shipping,9685,Fulfilled,DerekW,,,,,,,23961,72073,Shipping,1463,Shipping,Shipping,Shipping,217644,UPS,1,CWL Brands,Shipped,9685,30,1686,DW,1,0,1,15,15,0.05,2
45992,1686,Space Smoke Shop,127 Wanaque Ave,Pompton Lakes,New Jersey,7442,Space Smoke Shop,Derek Whitworth,11,Shipping,9685,Fulfilled,DerekW,,,,,,,23961,72161,Shipping,1463,Shipping,Shipping Tracking: 1Z90V7160326242714,Shipping,217644,UPS,1,CWL Brands,Shipped,9685,30,1686,DW,1,0,1,0,0,0,4
45992,392,Destin Smoke Shop,16055 Emerald Coast Pkwy #105,Destin,Florida,32541,Destin Smoke Shop,,74,CC Processing,9693,Fulfilled,Zalak,,,,,,,23976,72125,CC Processing,235,Credit Card Processing Fee,Credit Card Processing Fee,Sale,217729,UPS,1,CWL Brands,Shipped,9693,30,392,ED,1,0,1,64.8,64.8,0,3
45992,392,Destin Smoke Shop,16055 Emerald Coast Pkwy #105,Destin,Florida,32541,Destin Smoke Shop,,196,KB-3002,9693,Fulfilled,Zalak,,,,,,,23976,72124,KB-3002,235,Zoom 12PK,Zoom 12PK,Sale,217729,UPS,1,CWL Brands,Shipped,9693,30,392,ED,1,42,1,0,0,0,2
45992,392,Destin Smoke Shop,16055 Emerald Coast Pkwy #105,Destin,Florida,32541,Destin Smoke Shop,,206,KB-4000,9693,Fulfilled,Zalak,,,,,,,23976,72123,KB-4000,235,Focus MC12,Focus MC12,Sale,217729,UPS,1,CWL Brands,Shipped,9693,30,392,ED,3,576,1,720,2160,627.3,1
45992,392,Destin Smoke Shop,16055 Emerald Coast Pkwy #105,Destin,Florida,32541,Destin Smoke Shop,,11,Shipping,9693,Fulfilled,Zalak,,,,,,,23976,72139,Shipping,235,Shipping,Shipping,Shipping,217729,UPS,1,CWL Brands,Shipped,9693,30,392,ED,1,0,1,0,0,0.05,4
45992,392,Destin Smoke Shop,16055 Emerald Coast Pkwy #105,Destin,Florida,32541,Destin Smoke Shop,,11,Shipping,9693,Fulfilled,Zalak,,,,,,,23976,72198,Shipping,235,Shipping,Shipping Tracking: 1Z90V7160321454763,Shipping,217729,UPS,1,CWL Brands,Shipped,9693,30,392,ED,1,0,1,0,0,0,5
45992,1684,Adyah Wholesale,2468 Park Ave,Easton,Pennsylvania,18045,Adyah Wholesale,Derek Whitworth,206,KB-4000,9620,Fulfilled,DerekW,,107718345,,,,,23724,71361,KB-4000,1461,Focus MC12,Focus MC12,Sale,217927,R+L,1,CWL Brands,Shipped,9620,30,1684,DW,56,576,1,612,34272,11709.69,1
45992,1684,Adyah Wholesale,2468 Park Ave,Easton,Pennsylvania,18045,Adyah Wholesale,Derek Whitworth,194,KB-4001,9620,Fulfilled,DerekW,,107718345,,,,,23724,72216,KB-4001,1461,Release + Relax MC (12 boxes),Release + Relax MC (12 boxes),Sale,217927,R+L,1,CWL Brands,Shipped,9620,30,1684,DW,2,651,1,540,1080,342.93,2
45992,1684,Adyah Wholesale,2468 Park Ave,Easton,Pennsylvania,18045,Adyah Wholesale,Derek Whitworth,197,KB-4002,9620,Fulfilled,DerekW,,107718345,,,,,23724,72217,KB-4002,1461,Zoom MC (12 boxes),Zoom MC (12 boxes),Sale,217927,R+L,1,CWL Brands,Shipped,9620,30,1684,DW,2,504,1,432,864,238.61,3
45992,1684,Adyah Wholesale,2468 Park Ave,Easton,Pennsylvania,18045,Adyah Wholesale,Derek Whitworth,205,KB-4003,9620,Fulfilled,DerekW,,107718345,,,,,23724,72218,KB-4003,1461,Mango-Tango MC 12CT,Mango-Tango MC 12CT,Sale,217927,R+L,1,CWL Brands,Shipped,9620,30,1684,DW,2,864,1,576,1152,377.67,4
45992,1684,Adyah Wholesale,2468 Park Ave,Easton,Pennsylvania,18045,Adyah Wholesale,Derek Whitworth,11,Shipping,9620,Fulfilled,DerekW,,107718345,,,,,23724,72268,Shipping,1461,Shipping,Shipping Tracking: 107719345,Shipping,217927,R+L,1,CWL Brands,Shipped,9620,30,1684,DW,1,0,1,0,0,0,5
